x	y	clickSelects	xmin	xmax	ymin	ymax
11180	24	11200,0	11155	11205	-1	49
11230	24	11250,0	11205	11255	-1	49
11230	74	11250,50	11205	11255	49	99
11280	74	11300,50	11255	11305	49	99
11280	124	11300,100	11255	11305	99	149
11330	124	11350,100	11305	11355	99	149
11330	174	11350,150	11305	11355	149	199
11380	174	11400,150	11355	11405	149	199
11380	224	11400,200	11355	11405	199	249
11430	224	11450,200	11405	11455	199	249
11430	274	11450,250	11405	11455	249	299
11480	274	11500,250	11455	11505	249	299
11480	324	11500,300	11455	11505	299	349
11530	324	11550,300	11505	11555	299	349
11530	374	11550,350	11505	11555	349	399
11580	374	11600,350	11555	11605	349	399
11580	424	11600,400	11555	11605	399	449
11630	424	11650,400	11605	11655	399	449
11280	24	11300,0	11255	11305	-1	49
11380	124	11400,100	11355	11405	99	149
11480	224	11500,200	11455	11505	199	249
11580	324	11600,300	11555	11605	299	349
11330	74	11350,50	11305	11355	49	99
11430	174	11450,150	11405	11455	149	199
11530	274	11550,250	11505	11555	249	299
11630	374	11650,350	11605	11655	349	399
11330	24	11350,0	11305	11355	-1	49
11380	74	11400,50	11355	11405	49	99
11430	124	11450,100	11405	11455	99	149
11480	174	11500,150	11455	11505	149	199
11530	224	11550,200	11505	11555	199	249
11580	274	11600,250	11555	11605	249	299
11630	324	11650,300	11605	11655	299	349
11680	374	11700,350	11655	11705	349	399
11380	24	11400,0	11355	11405	-1	49
11480	124	11500,100	11455	11505	99	149
11580	224	11600,200	11555	11605	199	249
11680	324	11700,300	11655	11705	299	349
11430	74	11450,50	11405	11455	49	99
11530	174	11550,150	11505	11555	149	199
11630	274	11650,250	11605	11655	249	299
11430	24	11450,0	11405	11455	-1	49
11480	74	11500,50	11455	11505	49	99
11530	124	11550,100	11505	11555	99	149
11580	174	11600,150	11555	11605	149	199
11630	224	11650,200	11605	11655	199	249
11680	274	11700,250	11655	11705	249	299
11730	324	11750,300	11705	11755	299	349
11480	24	11500,0	11455	11505	-1	49
11580	124	11600,100	11555	11605	99	149
11680	224	11700,200	11655	11705	199	249
11530	74	11550,50	11505	11555	49	99
11630	174	11650,150	11605	11655	149	199
11730	274	11750,250	11705	11755	249	299
11530	24	11550,0	11505	11555	-1	49
11580	74	11600,50	11555	11605	49	99
11630	124	11650,100	11605	11655	99	149
11680	174	11700,150	11655	11705	149	199
11730	224	11750,200	11705	11755	199	249
11780	274	11800,250	11755	11805	249	299
11580	24	11600,0	11555	11605	-1	49
11680	124	11700,100	11655	11705	99	149
11780	224	11800,200	11755	11805	199	249
11630	74	11650,50	11605	11655	49	99
11730	174	11750,150	11705	11755	149	199
11630	24	11650,0	11605	11655	-1	49
11680	74	11700,50	11655	11705	49	99
11730	124	11750,100	11705	11755	99	149
11780	174	11800,150	11755	11805	149	199
11830	224	11850,200	11805	11855	199	249
11680	24	11700,0	11655	11705	-1	49
11780	124	11800,100	11755	11805	99	149
11730	74	11750,50	11705	11755	49	99
11830	174	11850,150	11805	11855	149	199
11730	24	11750,0	11705	11755	-1	49
11780	74	11800,50	11755	11805	49	99
11830	124	11850,100	11805	11855	99	149
11880	174	11900,150	11855	11905	149	199
11780	24	11800,0	11755	11805	-1	49
11880	124	11900,100	11855	11905	99	149
11830	74	11850,50	11805	11855	49	99
11830	24	11850,0	11805	11855	-1	49
11880	74	11900,50	11855	11905	49	99
11930	124	11950,100	11905	11955	99	149
11880	24	11900,0	11855	11905	-1	49
11930	74	11950,50	11905	11955	49	99
11930	24	11950,0	11905	11955	-1	49
11980	74	12000,50	11955	12005	49	99
11980	24	12000,0	11955	12005	-1	49
12030	24	12050,0	12005	12055	-1	49
