fill	x	y	xmin	xmax	ymin	ymax
#0D0D0D	0	0	-0.125	0.125	-2.5	2.5
#7A7A7A	0.5	5	0.375	0.625	2.5	7.5
#747474	1	5	0.875	1.125	2.5	7.5
#878787	1.25	5	1.125	1.375	2.5	7.5
#000000	0.25	0	0.125	0.375	-2.5	2.5
#111111	0.5	0	0.375	0.625	-2.5	2.5
#171717	0.75	0	0.625	0.875	-2.5	2.5
#1C1C1C	1	0	0.875	1.125	-2.5	2.5
#121212	-0.5	0	-0.625	-0.375	-2.5	2.5
#171717	-0.75	0	-0.875	-0.625	-2.5	2.5
#080808	-0.25	0	-0.375	-0.125	-2.5	2.5
#282828	-1.25	0	-1.375	-1.125	-2.5	2.5
#232323	-1	0	-1.125	-0.875	-2.5	2.5
#525252	-2	0	-2.125	-1.875	-2.5	2.5
#747474	-2.75	0	-2.875	-2.625	-2.5	2.5
#353535	-1.5	0	-1.625	-1.375	-2.5	2.5
#3D3D3D	1.75	0	1.625	1.875	-2.5	2.5
#343434	-1.75	0	-1.875	-1.625	-2.5	2.5
#2F2F2F	1.25	0	1.125	1.375	-2.5	2.5
#2E2E2E	1.5	0	1.375	1.625	-2.5	2.5
#464646	-2.5	0	-2.625	-2.375	-2.5	2.5
#393939	2	0	1.875	2.125	-2.5	2.5
#868686	-4.25	0	-4.375	-4.125	-2.5	2.5
#505050	-3	0	-3.125	-2.875	-2.5	2.5
#6A6A6A	-3.75	0	-3.875	-3.625	-2.5	2.5
#545454	3.25	0	3.125	3.375	-2.5	2.5
#7A7A7A	-4	0	-4.125	-3.875	-2.5	2.5
#484848	2.75	0	2.625	2.875	-2.5	2.5
#5B5B5B	2.25	0	2.125	2.375	-2.5	2.5
#6D6D6D	4	0	3.875	4.125	-2.5	2.5
#787878	4.25	0	4.125	4.375	-2.5	2.5
#6C6C6C	0.75	5	0.625	0.875	2.5	7.5
#A6A6A6	2.5	5	2.375	2.625	2.5	7.5
#5A5A5A	-2.25	0	-2.375	-2.125	-2.5	2.5
#828282	3	0	2.875	3.125	-2.5	2.5
#B0B0B0	4.5	0	4.375	4.625	-2.5	2.5
#969696	-2.25	5	-2.375	-2.125	2.5	7.5
#5D5D5D	-3.5	0	-3.625	-3.375	-2.5	2.5
#606060	3.75	0	3.625	3.875	-2.5	2.5
#B9B9B9	0.75	10	0.625	0.875	7.5	12.5
#B6B6B6	1.25	10	1.125	1.375	7.5	12.5
#7A7A7A	-1	5	-1.125	-0.875	2.5	7.5
#949494	-1.75	5	-1.875	-1.625	2.5	7.5
#D6D6D6	1.25	15	1.125	1.375	12.5	17.5
#AFAFAF	1	10	0.875	1.125	7.5	12.5
#848484	-1.25	5	-1.375	-1.125	2.5	7.5
#B4B4B4	-4.75	5	-4.875	-4.625	2.5	7.5
#919191	-1.5	5	-1.625	-1.375	2.5	7.5
#AEAEAE	-3.25	5	-3.375	-3.125	2.5	7.5
#7A7A7A	-0.5	5	-0.625	-0.375	2.5	7.5
#C0C0C0	-1.5	10	-1.625	-1.375	7.5	12.5
#B0B0B0	-1	10	-1.125	-0.875	7.5	12.5
#686868	2.5	0	2.375	2.625	-2.5	2.5
#959595	-4.5	0	-4.625	-4.375	-2.5	2.5
#BCBCBC	-0.75	10	-0.875	-0.625	7.5	12.5
#E3E3E3	-1.25	15	-1.375	-1.125	12.5	17.5
#747474	-0.75	5	-0.875	-0.625	2.5	7.5
#929292	-2	5	-2.125	-1.875	2.5	7.5
#969696	1.5	5	1.375	1.625	2.5	7.5
#CACACA	-5	5	-5.125	-4.875	2.5	7.5
#919191	2	5	1.875	2.125	2.5	7.5
#8E8E8E	1.75	5	1.625	1.875	2.5	7.5
#D6D6D6	3	5	2.875	3.125	2.5	7.5
#B4B4B4	-0.25	5	-0.375	-0.125	2.5	7.5
#BABABA	5	5	4.875	5.125	2.5	7.5
#B0B0B0	3.25	5	3.125	3.375	2.5	7.5
#9F9F9F	-4.5	5	-4.625	-4.375	2.5	7.5
#A5A5A5	2.75	5	2.625	2.875	2.5	7.5
#D1D1D1	-3	5	-3.125	-2.875	2.5	7.5
#AEAEAE	-2.75	5	-2.875	-2.625	2.5	7.5
#AAAAAA	-2.5	5	-2.625	-2.375	2.5	7.5
#AFAFAF	-1.25	10	-1.375	-1.125	7.5	12.5
#C4C4C4	3.5	5	3.375	3.625	2.5	7.5
#ABABAB	4.75	5	4.625	4.875	2.5	7.5
#989898	2.25	5	2.125	2.375	2.5	7.5
#DBDBDB	1.5	10	1.375	1.625	7.5	12.5
#A5A5A5	0.25	5	0.125	0.375	2.5	7.5
#A0A0A0	4.5	5	4.375	4.625	2.5	7.5
#FFFFFF	-2.25	20	-2.375	-2.125	17.5	22.5
#D1D1D1	-3.5	5	-3.625	-3.375	2.5	7.5
#D1D1D1	-2	10	-2.125	-1.875	7.5	12.5
#E3E3E3	5.25	5	5.125	5.375	2.5	7.5
#D6D6D6	-5.25	5	-5.375	-5.125	2.5	7.5
#FFFFFF	0.75	15	0.625	0.875	12.5	17.5
#EDEDED	-0.5	10	-0.625	-0.375	7.5	12.5
#E3E3E3	-1	15	-1.125	-0.875	12.5	17.5
#FFFFFF	5.5	5	5.375	5.625	2.5	7.5
#EDEDED	-1.75	15	-1.875	-1.625	12.5	17.5
#EDEDED	-1.75	20	-1.875	-1.625	17.5	22.5
#FFFFFF	-4	5	-4.125	-3.875	2.5	7.5
#FFFFFF	-2.25	25	-2.375	-2.125	22.5	27.5
#FFFFFF	0.5	10	0.375	0.625	7.5	12.5
#FFFFFF	-3.75	5	-3.875	-3.625	2.5	7.5
#EDEDED	-3.25	0	-3.375	-3.125	-2.5	2.5
#DBDBDB	1.75	10	1.625	1.875	7.5	12.5
#EDEDED	-2.25	10	-2.375	-2.125	7.5	12.5
#DBDBDB	-1.5	15	-1.625	-1.375	12.5	17.5
#D1D1D1	-1.75	10	-1.875	-1.625	7.5	12.5
#FFFFFF	1.25	20	1.125	1.375	17.5	22.5
#FFFFFF	1	15	0.875	1.125	12.5	17.5
#FFFFFF	1.5	15	1.375	1.625	12.5	17.5
#FFFFFF	2	10	1.875	2.125	7.5	12.5
