group	fill	clickSelects
254	#FFFDFE	215
305	#FFFDFE	215
355	#FFFDFE	215
356	#FFFDFE	215
406	#FFFDFE	215
407	#FFFDFE	215
456	#FFFDFE	215
457	#FFFDFE	215
468	#FFFDFE	215
507	#FFFDFE	215
508	#FFFDFE	215
519	#FFFDFE	215
557	#FFFDFE	215
558	#FFFDFE	215
569	#FFFDFE	215
580	#FFFDFE	215
608	#FFFDFE	215
609	#FFFDFE	215
620	#FFFDFE	215
631	#FFFDFE	215
658	#FFFDFE	215
659	#FFFDFE	215
670	#FFFDFE	215
681	#FFFDFE	215
692	#FFFDFE	215
709	#FFFDFE	215
710	#FFFDFE	215
721	#FFFDFE	215
732	#FFFDFE	215
743	#FFFDFE	215
759	#FFFDFE	215
760	#FFFDFE	215
771	#FFFDFE	215
782	#FFFDFE	215
793	#FFFDFE	215
804	#FFFDFE	215
810	#FFFDFE	215
811	#FFFDFE	215
822	#FFFDFE	215
833	#FFFDFE	215
844	#FFFDFE	215
854	#FFFDFE	215
860	#FFFDFE	215
861	#FFFDFE	215
872	#FFFDFE	215
883	#FFFDFE	215
894	#FFFDFE	215
905	#FFFDFE	215
906	#FFFDFE	215
911	#FFFDFE	215
912	#FFFDFE	215
923	#FFFDFE	215
934	#FFFDFE	215
945	#FFFDFE	215
955	#FFFDFE	215
956	#FFFDFE	215
961	#FFFDFE	215
962	#FFFDFE	215
973	#FFFDFE	215
984	#FFFDFE	215
995	#FFFDFE	215
1006	#FFFDFE	215
1007	#FFFDFE	215
1008	#FFFDFE	215
1012	#FFFDFE	215
1013	#FFFDFE	215
1024	#FFFDFE	215
1035	#FFFDFE	215
1046	#FFFDFE	215
1056	#FFFDFE	215
1057	#FFFDFE	215
1058	#FFFDFE	215
1062	#FFFDFE	215
1063	#FFFDFE	215
1074	#FFFDFE	215
1085	#FFFDFE	215
1096	#FFFDFE	215
1107	#FFFDFE	215
1108	#FFFDFE	215
1109	#FFFDFE	215
1110	#FFFDFE	215
1113	#FFFDFE	215
1114	#FFFDFE	215
1125	#FFFDFE	215
1136	#FFFDFE	215
1147	#FFFDFE	215
1157	#FFFDFE	215
1158	#FFFDFE	215
1159	#FFFDFE	215
1160	#FFFDFE	215
1264	#FFFDFE	215
1265	#FFFDFE	215
1276	#FFFDFE	215
1287	#FFFDFE	215
1298	#FFFDFE	215
1309	#FFFDFE	215
1310	#FFFDFE	215
1311	#FFFDFE	215
1312	#FFFDFE	215
1313	#FFFDFE	215
1315	#FFFDFE	215
1316	#FFFDFE	215
1327	#FFFDFE	215
1338	#FFFDFE	215
1349	#FFFDFE	215
1359	#FFFDFE	215
1360	#FFFDFE	215
1361	#FFFDFE	215
1362	#FFFDFE	215
1363	#FFFDFE	215
1365	#FFFDFE	215
1366	#FFFDFE	215
1367	#FFFDFE	215
1377	#FFFDFE	215
1388	#FFFDFE	215
1399	#FFFDFE	215
1410	#FFFDFE	215
1411	#FFFDFE	215
1412	#FFFDFE	215
1413	#FFFDFE	215
1414	#FFFDFE	215
1416	#FFFDFE	215
1417	#FFFDFE	215
1418	#FFFDFD	1060
1428	#FFFDFE	215
1439	#FFFDFE	215
1450	#FFFDFE	215
1460	#FFFDFE	215
1461	#FFFDFE	215
1462	#FFFDFE	215
1463	#FFFDFE	215
1464	#FFFDFE	215
1466	#FFFDFE	215
1467	#FFFDFE	215
1468	#FFFDFE	215
1469	#FFFDFD	1060
1478	#FFFDFE	215
1489	#FFFDFE	215
1500	#FFFDFE	215
1511	#FFFDFE	215
1512	#FFFDFE	215
1513	#FFFDFE	215
1514	#FFFDFE	215
1515	#FFFDFE	215
1517	#FFFDFE	215
1518	#FFFDFE	215
1519	#FFFDFD	1060
1520	#FFFDFD	1060
1529	#FFFDFE	215
1540	#FFFDFE	215
1551	#FFFDFE	215
1561	#FFFDFE	215
1562	#FFFDFE	215
1563	#FFFDFE	215
1564	#FFFDFE	215
1565	#FFFDFD	1060
1567	#FFFDFE	215
1568	#FFFDFE	215
1569	#FFFDFD	1060
1570	#FFFDFD	1060
1571	#FFFDFD	1060
1579	#FFFDFE	215
1590	#FFFDFE	215
1601	#FFFDFE	215
1612	#FFFDFE	215
1613	#FFFDFE	215
1614	#FFFDFE	215
1615	#FFFDFD	1060
1616	#FFFDFD	1060
1618	#FFFDFE	215
1619	#FFFDFE	215
1620	#FFFDFD	1060
1621	#FFFDFD	1060
1622	#FFFDFD	1060
1630	#FFFDFE	215
1641	#FFFDFE	215
1652	#FFFDFE	215
1662	#FFFDFE	215
1663	#FFFDFE	215
1664	#FFFDFD	1060
1665	#FFFDFD	1060
1666	#FFFDFD	1060
1668	#FFFDFE	215
1669	#FFFDFE	215
1670	#FFFDFD	1060
1671	#FFFDFD	1060
1672	#FFFDFD	1060
1673	#FFFDFD	1060
1680	#FFFDFE	215
1691	#FFFDFE	215
1702	#FFFDFE	215
1713	#FFFDFE	215
1714	#FFFDFE	215
1715	#FFFDFD	1060
1716	#FFFDFD	1060
1717	#FFFDFD	1060
1719	#FFFDFE	215
1720	#FFFDFE	215
1721	#FFFDFD	1060
1722	#FFFDFD	1060
1723	#FFFDFD	1060
1724	#FFFDFD	1060
1731	#FFFDFE	215
1742	#FFFDFE	215
1753	#FFFDFE	215
1763	#FFFDFD	1060
1764	#FFFDFD	1060
1765	#FFFDFD	1060
1766	#FFFDFD	1060
1767	#FFFDFD	1060
1769	#FFFDFE	215
1770	#FFFDFE	215
1771	#FFFDFD	1060
1772	#FFFDFD	1060
1773	#FFFDFD	1060
1774	#FFFDFD	1060
1775	#FFFDFD	1060
1781	#FFFDFE	215
1792	#FFFDFE	215
1803	#FFFDFE	215
1814	#FFFDFE	215
1815	#FFFDFD	1060
1816	#FFFDFD	1060
1817	#FFFDFD	1060
1818	#FFFDFD	1060
1820	#FFFDFE	215
1821	#FFFDFE	215
1822	#FFFDFD	1060
1823	#FFFDFD	1060
1824	#FFFDFD	1060
1825	#FFFDFD	1060
1826	#FFFDFD	1060
1832	#FFFDFE	215
1843	#FFFDFE	215
1854	#FFFDFE	215
1864	#FFFDFD	1060
1865	#FFFDFD	1060
1866	#FFFDFD	1060
1867	#FFFDFD	1060
1868	#FFFDFD	1060
1870	#FFFDFE	215
1871	#FFFDFE	215
1872	#FFFDFD	1060
1873	#FFFDFD	1060
1874	#FFFDFD	1060
1875	#FFFDFD	1060
1876	#FFFDFD	1060
1877	#FFFFFF	3123
1882	#FFFDFE	215
1893	#FFFDFE	215
1904	#FFFDFD	1060
1915	#FFFDFD	1060
1916	#FFFDFD	1060
1917	#FFFDFD	1060
1918	#FFFDFD	1060
1919	#FFFDFD	1060
1921	#FFFDFE	215
1922	#FFFDFE	215
1923	#FFFDFD	1060
1924	#FFFDFD	1060
1925	#FFFDFD	1060
1926	#FFFDFD	1060
1927	#FFFDFD	1060
1928	#FFFFFF	3123
1933	#FFFDFE	215
1944	#FFFDFD	1060
1955	#FFFDFD	1060
1965	#FFFDFD	1060
1966	#FFFDFD	1060
1967	#FFFDFD	1060
1968	#FFFDFD	1060
1969	#FFFDFD	1060
1971	#FFFDFE	215
1972	#FFFDFE	215
1973	#FFFDFD	1060
1974	#FFFDFD	1060
1975	#FFFDFD	1060
1976	#FFFDFD	1060
1977	#FFFDFD	1060
1978	#FFFDFD	1060
1979	#FFFFFF	3123
1983	#FFFDFE	215
1994	#FFFDFD	1060
2005	#FFFDFD	1060
2016	#FFFDFD	1060
2017	#FFFDFD	1060
2018	#FFFDFD	1060
2019	#FFFDFD	1060
2020	#FFFDFD	1060
2022	#FFFDFE	215
2023	#FFFDFE	215
2024	#FFFDFD	1060
2025	#FFFDFD	1060
2026	#FFFDFD	1060
2027	#FFFDFD	1060
2028	#FFFDFD	1060
2029	#FFFFFF	3123
2030	#FFFFFF	3123
2034	#FFFDFD	1060
2045	#FFFDFD	1060
2056	#FFFDFD	1060
2066	#FFFDFD	1060
2067	#FFFDFD	1060
2068	#FFFDFD	1060
2069	#FFFDFD	1060
2070	#FFFDFD	1060
2072	#FFFDFE	215
2073	#FFFDFE	215
2074	#FFFDFD	1060
2075	#FFFDFD	1060
2076	#FFFDFD	1060
2077	#FFFFFF	3123
2078	#FFFFFF	3123
2079	#FFFFFF	3123
2080	#FFFFFF	3123
2081	#FFFFFF	3123
2084	#FFFDFD	1060
2095	#FFFDFD	1060
2106	#FFFDFD	1060
2117	#FFFDFD	1060
2118	#FFFDFD	1060
2119	#FFFDFD	1060
2120	#FFFDFD	1060
2121	#FFFDFD	1060
2123	#FFFDFE	215
2124	#FFFDFD	1060
2125	#FFFDFD	1060
2126	#FFFDFD	1060
2127	#FFFDFD	1060
2128	#FFFFFF	3123
