group	x	y	clickSelects
9174	-44.75	48.25	820
9174	-44.75	48.75	820
9174	-44.25	48.75	820
9174	-44.25	48.25	820
9174	-44.75	48.25	820
1386	-44.25	48.75	17
1386	-44.25	49.25	17
1386	-38.75	49.25	17
1386	-37.25	47.75	17
1386	-37.25	46.75	17
1386	-36.75	46.25	17
1386	-36.25	46.25	17
1386	-35.75	46.75	17
1386	-35.75	47.25	17
1386	-36.75	48.25	17
1386	-36.75	48.75	17
1386	-36.25	49.25	17
1386	-28.75	49.25	17
1386	-28.25	48.75	17
1386	-28.25	48.25	17
1386	-28.75	47.75	17
1386	-28.75	46.75	17
1386	-29.25	46.25	17
1386	-29.25	45.75	17
1386	-28.75	45.25	17
1386	-28.75	44.75	17
1386	-29.25	44.25	17
1386	-29.25	43.75	17
1386	-28.25	42.75	17
1386	-27.25	42.75	17
1386	-26.75	42.25	17
1386	-24.75	42.25	17
1386	-24.75	41.25	17
1386	-23.25	41.25	17
1386	-23.25	42.25	17
1386	-22.75	42.75	17
1386	-22.25	42.75	17
1386	-21.75	42.25	17
1386	-20.75	42.25	17
1386	-20.75	41.25	17
1386	-20.25	41.25	17
1386	-19.75	41.75	17
1386	-19.25	41.75	17
1386	-19.25	40.25	17
1386	-20.25	40.25	17
1386	-20.25	38.25	17
1386	-20.75	37.75	17
1386	-21.25	37.75	17
1386	-21.75	38.25	17
1386	-23.25	38.25	17
1386	-23.25	37.75	17
1386	-22.75	37.25	17
1386	-21.75	37.25	17
1386	-20.75	36.25	17
1386	-20.75	35.75	17
1386	-21.75	35.75	17
1386	-22.25	35.25	17
1386	-22.75	35.25	17
1386	-23.25	35.75	17
1386	-24.75	35.75	17
1386	-25.75	34.75	17
1386	-26.25	34.75	17
1386	-26.25	35.75	17
1386	-26.75	36.25	17
1386	-27.25	36.25	17
1386	-27.75	35.75	17
1386	-28.75	35.75	17
1386	-28.75	33.25	17
1386	-28.25	32.75	17
1386	-28.25	32.25	17
1386	-29.25	31.25	17
1386	-29.25	30.75	17
1386	-28.75	30.75	17
1386	-27.25	32.25	17
1386	-26.75	32.25	17
1386	-26.25	31.75	17
1386	-26.25	31.25	17
1386	-27.25	30.25	17
1386	-28.25	30.25	17
1386	-28.75	29.75	17
1386	-29.25	29.75	17
1386	-29.75	30.25	17
1386	-30.25	30.25	17
1386	-30.25	28.25	17
1386	-30.75	28.25	17
1386	-31.75	29.25	17
1386	-32.75	29.25	17
1386	-32.75	29.75	17
1386	-32.25	30.25	17
1386	-32.25	30.75	17
1386	-33.25	31.75	17
1386	-33.25	32.75	17
1386	-33.75	33.25	17
1386	-33.75	33.75	17
1386	-30.75	33.75	17
1386	-30.25	34.25	17
1386	-30.25	37.25	17
1386	-29.75	37.75	17
1386	-29.75	38.75	17
1386	-29.25	39.25	17
1386	-29.25	39.75	17
1386	-29.75	40.25	17
1386	-30.25	40.25	17
1386	-30.25	39.25	17
1386	-31.25	39.25	17
1386	-31.25	38.75	17
1386	-30.75	38.25	17
1386	-30.75	37.75	17
1386	-31.25	37.25	17
1386	-31.25	36.75	17
1386	-30.75	36.25	17
1386	-30.75	35.75	17
1386	-31.25	35.75	17
1386	-32.25	36.75	17
1386	-32.75	36.75	17
1386	-32.75	35.75	17
1386	-33.25	35.75	17
1386	-33.75	36.25	17
1386	-33.75	36.75	17
1386	-32.25	38.25	17
1386	-32.25	38.75	17
1386	-32.75	39.25	17
1386	-32.75	40.25	17
1386	-33.25	40.25	17
1386	-33.25	39.25	17
1386	-35.75	36.75	17
1386	-35.75	36.25	17
1386	-35.25	35.75	17
1386	-34.25	35.75	17
1386	-34.25	35.25	17
1386	-34.75	34.75	17
1386	-34.75	33.25	17
1386	-34.25	32.75	17
1386	-34.25	31.25	17
1386	-34.75	31.25	17
1386	-36.25	32.75	17
1386	-36.75	32.75	17
1386	-36.75	32.25	17
1386	-35.75	31.25	17
1386	-35.75	30.75	17
1386	-36.25	30.25	17
1386	-36.25	29.25	17
1386	-36.75	29.25	17
1386	-37.75	30.25	17
1386	-39.25	30.25	17
1386	-39.25	29.25	17
1386	-40.75	27.75	17
1386	-41.25	27.75	17
1386	-41.25	28.25	17
1386	-40.75	28.75	17
1386	-40.75	29.25	17
1386	-41.25	29.75	17
1386	-41.25	30.75	17
1386	-41.75	31.25	17
1386	-42.25	31.25	17
1386	-44.25	29.25	17
1386	-44.75	29.25	17
1386	-44.75	29.75	17
1386	-44.25	30.25	17
1386	-44.25	30.75	17
1386	-44.75	31.25	17
1386	-44.75	31.75	17
1386	-44.25	32.25	17
1386	-44.25	32.75	17
