group	label	showSelected1
1	Cluster 17: 600/1359 pixels shown, logFC -2.8 to 3.3, log10(p) 0.0 to 3.0	17
1	Cluster 60: 977/2797 pixels shown, logFC -3.1 to 2.8, log10(p) 0.0 to 3.2	60
1	Cluster 95: 474/476 pixels shown, logFC -2.8 to 3.3, log10(p) 0.0 to 2.8	95
1	Cluster 155: 90/90 pixels shown, logFC -2.6 to 0.9, log10(p) 0.0 to 1.5	155
1	Cluster 167: 590/1191 pixels shown, logFC -2.6 to 3.3, log10(p) 0.0 to 2.6	167
1	Cluster 237: 126/1054 pixels shown, logFC -3.1 to 2.3, log10(p) 0.0 to 3.1	237
1	Cluster 254: 208/363 pixels shown, logFC -1.7 to 2.8, log10(p) 0.0 to 2.3	254
1	Cluster 294: 13/13 pixels shown, logFC -3.5 to -0.2, log10(p) 0.1 to 2.0	294
1	Cluster 369: 126/2779 pixels shown, logFC -3.5 to 2.3, log10(p) 0.0 to 3.0	369
1	Cluster 372: 14/14 pixels shown, logFC -3.5 to 0.1, log10(p) 0.0 to 1.3	372
1	Cluster 380: 85/97 pixels shown, logFC -1.8 to 3.9, log10(p) 0.0 to 1.8	380
1	Cluster 384: 9/9 pixels shown, logFC -4.0 to -0.6, log10(p) 0.3 to 1.8	384
1	Cluster 437: 12/12 pixels shown, logFC -3.8 to 0.2, log10(p) 0.0 to 1.5	437
1	Cluster 503: 152/160 pixels shown, logFC -3.1 to 2.1, log10(p) 0.0 to 1.8	503
1	Cluster 536: 20/328 pixels shown, logFC -3.5 to 1.7, log10(p) 0.0 to 3.1	536
1	Cluster 613: 1/7 pixels shown, logFC 0.1 to 2.8, log10(p) 0.0 to 0.8	613
1	Cluster 759: 18/22 pixels shown, logFC -3.1 to 0.1, log10(p) 0.1 to 1.6	759
1	Cluster 772: 24/25 pixels shown, logFC -3.1 to -0.1, log10(p) 0.0 to 2.0	772
1	Cluster 820: 4/345 pixels shown, logFC -3.1 to 2.1, log10(p) 0.0 to 2.1	820
1	Cluster 871: 16/34 pixels shown, logFC -0.3 to 3.3, log10(p) 0.0 to 2.9	871
1	Cluster 879: 168/194 pixels shown, logFC -3.3 to 1.4, log10(p) 0.0 to 2.9	879
1	Cluster 1148: 11/11 pixels shown, logFC -2.6 to -0.1, log10(p) 0.0 to 0.8	1148
1	Cluster 1163: 3/28 pixels shown, logFC -0.1 to 3.3, log10(p) 0.0 to 2.0	1163
1	Cluster 1174: 216/326 pixels shown, logFC -1.8 to 3.3, log10(p) 0.0 to 2.1	1174
1	Cluster 1267: 1/344 pixels shown, logFC -1.8 to 2.8, log10(p) 0.0 to 1.8	1267
