fill	x	y	xmin	xmax	ymin	ymax
#FFFFFF	4	3.75	3.875	4.125	3.625	3.875
#717171	2.5	1	2.375	2.625	0.875	1.125
#A5A5A5	2.75	1.5	2.625	2.875	1.375	1.625
#9B9B9B	2.75	2	2.625	2.875	1.875	2.125
#8E8E8E	3	1.5	2.875	3.125	1.375	1.625
#787878	2.5	0	2.375	2.625	-0.125	0.125
#393939	1.5	0	1.375	1.625	-0.125	0.125
#AFAFAF	2.25	1.5	2.125	2.375	1.375	1.625
#6D6D6D	2.25	1	2.125	2.375	0.875	1.125
#494949	1.75	0	1.625	1.875	-0.125	0.125
#FFFFFF	3.75	3	3.625	3.875	2.875	3.125
#757575	2.75	1	2.625	2.875	0.875	1.125
#9D9D9D	3.25	2	3.125	3.375	1.875	2.125
#D6D6D6	3	0	2.875	3.125	-0.125	0.125
#282828	1	0	0.875	1.125	-0.125	0.125
#B3B3B3	3.25	1.5	3.125	3.375	1.375	1.625
#FFFFFF	3.75	2.25	3.625	3.875	2.125	2.375
#CCCCCC	3.5	2	3.375	3.625	1.875	2.125
#939393	3	1	2.875	3.125	0.875	1.125
#FFFFFF	3.75	2.5	3.625	3.875	2.375	2.625
#C4C4C4	3.5	2.25	3.375	3.625	2.125	2.375
#A8A8A8	3	2	2.875	3.125	1.875	2.125
#696969	2.25	0	2.125	2.375	-0.125	0.125
#6C6C6C	2	1	1.875	2.125	0.875	1.125
#323232	1.25	0	1.125	1.375	-0.125	0.125
#6A6A6A	1.25	1	1.125	1.375	0.875	1.125
#626262	1.75	1	1.625	1.875	0.875	1.125
#D6D6D6	3.5	2.5	3.375	3.625	2.375	2.625
#D6D6D6	2	2	1.875	2.125	1.875	2.125
#FFFFFF	3.5	3	3.375	3.625	2.875	3.125
#575757	2	0	1.875	2.125	-0.125	0.125
#FFFFFF	3.75	2.75	3.625	3.875	2.625	2.875
#A8A8A8	2.5	2	2.375	2.625	1.875	2.125
#E5E5E5	3.75	3.25	3.625	3.875	3.125	3.375
#B7B7B7	2.25	2	2.125	2.375	1.875	2.125
#9B9B9B	2.75	0	2.625	2.875	-0.125	0.125
#646464	1.5	1	1.375	1.625	0.875	1.125
#BDBDBD	2.5	1.5	2.375	2.625	1.375	1.625
#C4C4C4	1.75	1.5	1.625	1.875	1.375	1.625
#CCCCCC	1.5	1.5	1.375	1.625	1.375	1.625
#FFFFFF	3.25	2.5	3.125	3.375	2.375	2.625
#282828	0.75	0	0.625	0.875	-0.125	0.125
#6A6A6A	1	1	0.875	1.125	0.875	1.125
#FFFFFF	3.25	1	3.125	3.375	0.875	1.125
#FFFFFF	3.25	2.25	3.125	3.375	2.125	2.375
#D6D6D6	2	1.5	1.875	2.125	1.375	1.625
#222222	0.5	0	0.375	0.625	-0.125	0.125
#7D7D7D	0.75	1	0.625	0.875	0.875	1.125
#232323	0.25	0	0.125	0.375	-0.125	0.125
#E5E5E5	1.5	2	1.375	1.625	1.875	2.125
#8A8A8A	0.5	1	0.375	0.625	0.875	1.125
#000000	0	0	-0.125	0.125	-0.125	0.125
#919191	0.25	1	0.125	0.375	0.875	1.125
#FFFFFF	1	2	0.875	1.125	1.875	2.125
#E5E5E5	1.25	1.5	1.125	1.375	1.375	1.625
#E5E5E5	1	1.5	0.875	1.125	1.375	1.625
#FFFFFF	3.5	1.5	3.375	3.625	1.375	1.625
